Case,Result,Reason,Remark
testTransitiveInferenceLeftOuterJoin,ERROR,OUTERJOIN,
testPushMaxNullableGroupingSetsThroughUnion,ERROR,GROUPBY,
testReduceConstants2,ERROR,VALUES,
testPushJoinThroughUnionOnRight,MP,,
testFullOuterJoinSimplificationToInner,ERROR,OUTERJOIN,
testPushAvgGroupingSetsThroughUnion,ERROR,GROUPBY,check first (avg)
testReduceOrCaseWhen,ERROR,NULL,
testReduceAverage,ERROR,CAST,
testMergeUnionAll,ERROR,ERROR,
testReduceCasts,ERROR,CAST,
testLeftOuterJoinSimplificationToInner,ERROR,OUTERJOIN,
testPushSumNullableNOGBYThroughUnion,ERROR,GROUPBY,
testEmptyMinus2,ERROR,VALUES,
testPushAggregateThroughJoin1,ERROR,ERROR,check
testPushAggregateThroughJoin2,ERROR,GROUPBY,
testPushAggregateThroughJoin3,EQ,,
testPushAggregateThroughJoin4,ERROR,GROUPBY,check
testPushAggregateThroughJoin5,ERROR,ERROR,check
testReduceConstants,ERROR,NULL,
testPushSumNullConstantThroughUnion,ERROR,NULL,
testMergeJoinFilter,MP,,
testMergeUnionDistinct,ERROR,UNION,
testStrengthenJoinType,ERROR,CAST,
testPushAggregateSumThroughJoin,ERROR,CAST,
testExpandFilterIn,ERROR,NULL,
testReduceConstantsCaseEquals,ERROR,CASE,
testTransitiveInferenceNoPullUpExprs,EQ,,
testEmptyProject,ERROR,VALUES,
testTransitiveInferenceConjunctInPullUp,UNKNOWN,,Later
testPullConstantThroughAggregateSimpleNonNullable,ERROR,GROUPBY,
testUnionToDistinctRule,ERROR,UNION,
testPushSemiJoinPastFilter,ERROR,ERROR,check
testPullAggregateThroughUnion,UNKNOWN,,
testPullConstantIntoFilter,UNKNOWN,,
testPushSumNullableThroughUnion,ERROR,GROUPBY,
testEmptyAggregate,ERROR,EMPTYTABLE,
testTransitiveInferencePullUpThruAlias,ERROR,ERROR,check (first)
testTransitiveInferenceAggregate,UNKNOWN,,second
testEmptySortLimitZero,ERROR,ORDERBY,
testCastInAggregateExpandDistinctAggregatesRule,ERROR,CAST,
testDistinctCount1,ERROR,GROUPBY,
