testPushSumNullableNOGBYThroughUnion,F
testPushSumNullableThroughUnion,F
testPushSumNullConstantGroupingSetsThroughUnion,F
testPushSumNullConstantThroughUnion,F
testReduceAverage,F
testReduceCastAndConsts,F
testReduceCasts,F
testReduceCastTimeUnchanged,F
testReduceCompositeInSubQuery,F
testReduceConstants,F
testReduceConstants2,F
testReduceConstantsCalc,F
testReduceConstantsCaseEquals,F
testReduceConstantsCaseEquals2,F
testReduceConstantsCaseEquals3,F
testReduceConstantsDup,F
testReduceConstantsDup2,F
testReduceConstantsEliminatesFilter,F
testReduceConstantsIsNotNull,F
testReduceConstantsIsNull,F
testReduceConstantsNegated,F
testReduceConstantsNegatedInverted,F
testReduceConstantsNull,F
testReduceConstantsNullEqualsOne,F
testReduceConstantsProjectNullable,F
testReduceConstantsRequiresExecutor,F
testReduceExpressionsNot,F
testReduceNestedCaseWhen,F
testReduceNot,F
testReduceNullableCase,F
testReduceNullableCase2,F
testReduceOrCaseWhen,F
testReduceValuesToEmpty,F
testReduceValuesUnderFilter,F
testReduceValuesUnderProject,F
testReduceValuesUnderProjectFilter,F
testRemoveSemiJoin,F
testRightOuterJoinSimplificationToInner,F
testSemiJoinRule,F
testSemiJoinRuleExists,F
testSemiJoinRuleFull,F
testSemiJoinRuleLeft,F
testSemiJoinRuleRight,F
testSemiJoinTrim,F
testSortJoinTranspose1,F
testSortJoinTranspose2,F
testSortJoinTranspose3,F
testSortJoinTranspose4,F
testSortJoinTranspose5,F
testSortProjectTranspose1,F
testSortProjectTranspose2,F
testSortProjectTranspose3,F
testSortUnionTranspose,F
testSortUnionTranspose2,F
testSortUnionTranspose3,F
testStrengthenJoinType,F
testSwapOuterJoin,F
testTransitiveInferenceConstantEquiPredicate,F
testTransitiveInferenceFullOuterJoin,F
testTransitiveInferenceLeftOuterJoin,F
testTransitiveInferenceNoPullUpExprs,F
testTransitiveInferencePreventProjectPullUp,F
testTransitiveInferenceRightOuterJoin,F
testUnionMergeRule,F
testUnionToDistinctRule,F
testWhereExpressionInCorrelated,F
testWhereInCorrelated,F
testWhereNotInCorrelated,F
testWhereNotInCorrelated2,F
testWhereOrSubQuery,F
